miRNA,Gene,ΔG open,Probability exact,Conservation PhyloP,miRmap score
hsa-miR-1278,BDNF,80.4878,21.6877611118176,81.9812240505533,49.2547
hsa-miR-4645-3p,BDNF,80.5688,22.8796415382306,89.5697483452541,49.4691
hsa-miR-4494,BDNF,78.92,16.304816733214,68.0129804171392,50.0966
hsa-miR-3168,BDNF,92.9761,37.5060313915828,68.6310480120799,50.1645
hsa-miR-4289,BDNF,64.4648,19.297726837249,68.5518139622315,50.6984
hsa-miR-4671-5p,BDNF,12.8605,70.0202468878019,38.9307236329206,51.1387
hsa-miR-3127-3p,BDNF,36.1797,9.45251306304541,2.10436237527299,51.1427
hsa-miR-1229-5p,BDNF,36.7069,13.923495544399,52.573787365267,51.5511
hsa-miR-1294,BDNF,16.208,32.4809276361576,31.6745727878821,51.8201
hsa-miR-1914-5p,BDNF,56.6423,17.2130455572789,40.4980639771634,52.4758
hsa-miR-340-5p,BDNF,67.8822,22.2676963546153,89.5697483452541,52.5841
hsa-miR-1182,BDNF,14.7765,21.0349302573636,54.1947642780454,52.6766
hsa-miR-1298,BDNF,73.8814,80.8118334392586,67.5979861739471,52.6802
hsa-miR-3162-3p,BDNF,48.7668,30.0085643824235,12.4400739990367,53.0024
hsa-miR-330-5p,BDNF,9.03641,16.4743462746021,74.1577673850545,53.1449
hsa-miR-3692-5p,BDNF,22.6533,19.2288353725568,69.888973878361,53.7035
hsa-miR-148b-5p,BDNF,92.849,37.5060313915828,68.6310480120799,53.7227
hsa-miR-4763-5p,BDNF,23.7532,34.8866532100479,86.2871929762612,53.7862
hsa-miR-5008-5p,BDNF,7.4056,41.7754666457656,66.1005466440586,54.2294
hsa-miR-6718-5p,BDNF,63.341,56.898998064843,63.4233520177444,54.301
hsa-miR-337-3p,BDNF,23.1615,55.7846834640503,17.3429236813064,54.3573
hsa-miR-1909-3p,BDNF,20.5411,26.834724148352,14.7492687324665,54.4214
hsa-miR-5708,BDNF,35.5062,75.7171798971066,21.4473157234039,54.7455
hsa-miR-555,BDNF,40.377,15.1887982400961,64.5931831675689,54.8587
hsa-miR-5591-5p,BDNF,30.1823,40.2038815596563,18.1707199731371,54.9176
hsa-miR-1257,BDNF,57.3121,10.5164621556995,89.5697483452541,55.0661
